free,note,"img/IMG_4801_Original.jpg","石","小さい石が集まった大きめの石（渡嘉敷島,2020夏）",
bought,min,"img/IMG_4802_Original.jpg","お菓子の箱","賞味期限（製造年月日？）の表示方法がとてもかっこいい",
made,a6,"img/IMG_4803_Original.jpg","ほうき","落ちていたほうきのような枝で作ったほうき（渡嘉敷島,2020夏)",
free,a6,"img/IMG_4804_Original.jpg","拾ったもの（小）","石・貝・植物などの拾ったもの（渡嘉敷島/ウトロ,2020-2022）",
free,min,"img/IMG_4811_Original.jpg","キーホルダー/鈴","イルカのキーホルダー（?）/鈴（知床,2021）",
free,note,"img/IMG_4813_Original.jpg","薄い石","薄い石がたくさん落ちてて重ねたりしてた（渡嘉敷,2020）",
free,a6,"img/IMG_4815_Original.jpg","木の枝","イナウを作ろうと思って白い枝を拾ってきて皮を剝いだもの。でもまだ作らずそのままになっている。（ウトロ,2021）",
made,min,"img/IMG_4817_Original.jpg","器","ウトロで採った材料で作った器。生焼け状態。（ウトロ,2021）",
free,a6,"img/IMG_4820_Original.jpg","小枝","折るといい匂いのする楠の小枝ストック（大阪）",
free,a6,"img/IMG_4822_Original.jpg","変わった形","いい形のもの。軽い。",
free,min,"img/IMG_4825_Original.jpg","潰れた鈴","不明。",
cant,note,"img/IMG_5417.JPG","とうもろこしの皮","とてもおいしかったしかさかさする前は美しかったので捨てれない。",
bought,note,"img/IMG_5423.JPG","クリスタルチューナー","場を清くする。",
bought,min,"img/IMG_5435.JPG","おみくじ","櫻宮神社の無人自販機おみくじがとてもいい",
cant,note,"img/IMG_5432.JPG","ポケットティッシュ","貴重だと思うから捨てれない。",
gift,min,"img/IMG_5425.JPG","置物","たくさん人形がある中でお祈りしているものを選んだ。from琥珀",
free,a6,"img/IMG_5449.JPG","茶托","実家に小さい時からあったものを勝手にもらった。",
free,a5,"img/IMG_5470.JPG","プレイタイムズ案内用紙","",
gift,min,"img/IMG_5471.JPG","マグネットフック","渡嘉敷島で遊んだアメリカ人の女の子がくれた。",
gift,note,"img/IMG_5469.JPG","西田陽子法律事務所ボールペン","カフェをやってた時の常連さんにもらった。",
gift,a5,"img/IMG_5467.JPG","手紙","",
free,min,"img/IMG_5459.JPG","電球","どこかで拾った小さな光る球",
free,min,"img/IMG_5452.JPG","マッチ","喫茶チロル",
gift,min,"img/IMG_5439.JPG","犬の置物","fromあっち",
